sa3_code,Area_Label,Census_Year,Estimated_Resident_Population,Population_Density_Per_Km2,Estimated resident population - males (no.),Estimated resident population - females (no.),Median_Age_Males,Median_Age_Females,Median_Age_Overall,Males - 85 and over (no.),Females - 85 and over (no.),Number_of_Births,Number_of_Deaths,Standardised_Death_Rate,Overseas_Arrivals,Overseas_Departures,Net_Overseas_Migration,Indigenous_Population,Indigenous_Population_Percent,Born_in_Oceania_Excluding_Australia_Percent,Born_in_North_West_Europe_Percent,Born_in_Southern_Eastern_Europe_Percent,Born_in_North_Africa_Middle_East_Percent,Born_in_South_East_Asia_Percent,Born_in_North_East_Asia_Percent,Born_in_Southern_Central_Asia_Percent,Born_in_Americas_Percent,Born_in_Sub_Saharan_Africa_Percent,Total_Born_Overseas,Total_Born_Overseas_Percent,Number_of_Australian_Citizens,Number_of_Non_Australian_Citizens,Australian_Citizenship_Not_Stated,Australian_Citizen_Percent,Non_Australian_Citizen_Percent,Australian_Citizenship_Not_Stated_Percent,Speaks_Other_Language_At_Home,Speaks_Other_Language_At_Home_Percent,Males_Under_14,Females_Under_14,Males_15_to_24,Females_15_to_24,Males_25_to_34,Females_25_to_34,Males_35_to_44,Females_35_to_44,Males_45_to_54,Females_45_to_54,Males_55_to_64,Females_55_to_64,Males_65_to_74,Females_65_to_74,Males_75_to_84,Females_75_to_84,Males_85_and_over,Females_85_and_over
10300,Balranald,2011,,,,,,,,,,,,,,,,157.00,6.90,,,,,,,,,,,,1998.00,85.00,200.00,87.40,3.70,8.70,177.00,7.70,,,,,,,,,,,,,,,,,,
10300,Balranald,2016,,,,,,,,,,26.00,26.00,8.90,,,,204.00,8.90,1.40,1.30,1.10,0.20,1.00,0.30,0.40,0.30,,140.00,6.10,1977.00,71.00,237.00,86.30,3.10,10.30,151.00,6.60,,,,,,,,,,,,,,,,,,
10300,Balranald,2017,2336.00,0.10,1183.00,1153.00,39.50,40.90,40.40,16.00,26.00,45.00,18.00,,12.00,5.00,7.00,,,,,,,,,,,,,,,,,,,,,,255.0,237.0,153.0,116.0,116.0,142.0,131.0,143.0,157.0,134.0,184.0,187.0,128.0,97.0,43.0,71.0,16.00,26.00
10300,Balranald,2018,2305.00,0.10,1149.00,1156.00,40.00,41.60,41.10,17.00,21.00,26.00,18.00,,11.00,5.00,6.00,,,,,,,,,,,,,,,,,,,,,,244.0,230.0,144.0,113.0,118.0,148.0,126.0,140.0,148.0,137.0,188.0,189.0,126.0,104.0,38.0,74.0,17.00,21.00
10300,Balranald,2019,2283.00,0.10,1144.00,1139.00,40.40,42.30,41.50,17.00,20.00,34.00,21.00,,11.00,5.00,6.00,,,,,,,,,,,,,,,,,,,,,,242.0,231.0,141.0,102.0,125.0,148.0,115.0,135.0,146.0,137.0,181.0,176.0,134.0,119.0,43.0,71.0,17.00,20.00
10300,Balranald,2020,2252.00,0.10,1116.00,1136.00,41.00,43.50,42.40,11.00,17.00,30.00,20.00,,10.00,6.00,4.00,,,,,,,,,,,,,,,,,,,,,,228.0,215.0,134.0,104.0,130.0,153.0,118.0,126.0,147.0,145.0,168.0,167.0,140.0,131.0,40.0,78.0,11.00,17.00
10300,Balranald,2021,2207.00,0.10,1096.00,1111.00,41.90,44.10,42.70,11.00,14.00,28.00,18.00,,4.00,4.00,,141.00,6.40,1.80,1.10,0.80,,3.00,0.70,0.80,0.40,,190.00,8.60,1771.00,142.00,298.00,80.20,6.40,13.50,205.00,9.30,233.0,217.0,125.0,88.0,129.0,148.0,109.0,121.0,127.0,151.0,174.0,158.0,148.0,141.0,40.0,73.0,11.00,14.00
10300,Balranald,2022,2198.00,0.10,,,,,,,,,,,13.00,5.00,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10470,Bathurst Regional,2011,,,,,,,,,,,,,,,,1635.00,4.20,,,,,,,,,,,,34640.00,1094.00,2790.00,89.90,2.80,7.20,1263.00,3.30,,,,,,,,,,,,,,,,,,
10470,Bathurst Regional,2016,,,,,,,,,,481.00,323.00,6.10,,,,2246.00,5.40,1.30,3.30,0.50,0.30,0.90,0.50,0.90,0.50,0.40,3559.00,8.60,36058.00,1408.00,3838.00,87.30,3.40,9.30,1695.00,4.10,,,,,,,,,,,,,,,,,,
