State_and_territory,SA3_name,Year,Participation_Per
Qld,Charters Towers - Ayr - Ingham,2015,34.6
Qld,Townsville,2015,34.5
Qld,Bundaberg,2015,43.8
Qld,Burnett,2015,43.3
Qld,Gympie - Cooloola,2015,43.2
Qld,Hervey Bay,2015,44.4
Qld,Maryborough,2015,42.4
WA,Augusta - Margaret River - Busselton,2015,47.9
WA,Bunbury,2015,44.1
WA,Manjimup,2015,48.1
WA,Mandurah,2015,43.7
WA,Cottesloe - Claremont,2015,43.1
WA,Perth City,2015,39.9
WA,Bayswater - Bassendean,2015,38.4
WA,Mundaring,2015,43.9
WA,Swan,2015,37
WA,Joondalup,2015,46.4
WA,Stirling,2015,41.8
WA,Wanneroo,2015,38.7
WA,Armadale,2015,38.5
WA,Belmont - Victoria Park,2015,38
WA,Canning,2015,42.3
WA,Gosnells,2015,38.3
WA,Kalamunda,2015,42.4
WA,Serpentine - Jarrahdale,2015,40.5
WA,South Perth,2015,42.4
WA,Cockburn,2015,38
WA,Fremantle,2015,41
WA,Kwinana,2015,31.3
WA,Melville,2015,45.8
WA,Rockingham,2015,40.1
WA,Esperance,2015,46.4
WA,Gascoyne,2015,33.2
WA,Goldfields,2015,28.8
WA,Kimberley,2015,22.5
WA,Mid West,2015,38.6
WA,Pilbara,2015,25.4
WA,Albany,2015,47.1
WA,Wheat Belt - North,2015,41.8
WA,Wheat Belt - South,2015,44.1
SA,Adelaide City,2015,41.3
SA,Adelaide Hills,2015,48.2
SA,Burnside,2015,49.1
SA,Campbelltown (SA),2015,44.7
SA,Norwood - Payneham - St Peters,2015,45.7
SA,Prospect - Walkerville,2015,46.2
SA,Unley,2015,47.5
SA,Gawler - Two Wells,2015,45.3
SA,Playford,2015,36.8
SA,Port Adelaide - East,2015,42.3
SA,Salisbury,2015,40.9
SA,Tea Tree Gully,2015,49.6
SA,Holdfast Bay,2015,52.7
SA,Marion,2015,47.4
SA,Mitcham,2015,50.8
SA,Onkaparinga,2015,48
SA,Charles Sturt,2015,44.3
SA,Port Adelaide - West,2015,40.2
SA,West Torrens,2015,44.7
SA,Barossa,2015,47.4
SA,Lower North,2015,48
SA,Mid North,2015,45.3
SA,Yorke Peninsula,2015,54.3
SA,Eyre Peninsula and South West,2015,42.4
SA,Outback - North and East,2015,37.7
SA,Fleurieu - Kangaroo Island,2015,52.1
SA,Limestone Coast,2015,45
SA,Murray and Mallee,2015,45.5
Tas,Brighton,2015,37.6
Tas,Hobart - North East,2015,46.4
Tas,Hobart - North West,2015,38
Tas,Hobart - South and West,2015,49.9
Tas,Hobart Inner,2015,46.6
Tas,Sorell - Dodges Ferry,2015,41.4
Tas,Launceston,2015,43.1
Tas,Meander Valley - West Tamar,2015,47.6
Tas,North East,2015,44.1
Tas,Central Highlands (Tas.),2015,38.4
Tas,Huon - Bruny Island,2015,45.1
Tas,South East Coast,2015,49.1
Tas,Burnie - Ulverstone,2015,44.5
Tas,Devonport,2015,46.7
Tas,West Coast,2015,41.2
ACT,Belconnen,2015,41.9
ACT,Cotter - Namadgi,2015,41.38559471
ACT,Fyshwick - Pialligo - Hume,2015,41.38559471
ACT,Gungahlin,2015,39.7
ACT,North Canberra,2015,41.3
ACT,South Canberra,2015,42.8
ACT,Tuggeranong,2015,40.9
ACT,Weston Creek,2015,45.8
ACT,Woden,2015,44.8
NT,Darwin City,2015,30.6
NT,Darwin Suburbs,2015,32.2
NT,Litchfield,2015,32.3
NT,Palmerston,2015,29.4
NT,Alice Springs,2015,25.1
NT,Barkly,2015,17.2
NT,Daly - Tiwi - West Arnhem,2015,22.8
NT,East Arnhem,2015,11.3
NT,Katherine,2015,21.4
NSW,Goulburn - Yass,2016,41
NSW,Queanbeyan,2016,39.6
NSW,Snowy Mountains,2016,43.3
NSW,South Coast,2016,46.3
NSW,Gosford,2016,39.1
NSW,Wyong,2016,38
NSW,Bathurst,2016,41
NSW,Lachlan Valley,2016,39.4
NSW,Lithgow - Mudgee,2016,39.6
NSW,Orange,2016,41.1
NSW,Clarence Valley,2016,43.1
NSW,Coffs Harbour,2016,42.5
NSW,Bourke - Cobar - Coonamble,2016,29.4
NSW,Broken Hill and Far West,2016,35.1
NSW,Dubbo,2016,37.1
NSW,Lower Hunter,2016,39.3
NSW,Maitland,2016,41.4
NSW,Port Stephens,2016,45.3
NSW,Upper Hunter,2016,37.5
NSW,Dapto - Port Kembla,2016,36.9
NSW,Illawarra Catchment Reserve,2016,41.38559471
NSW,Kiama - Shellharbour,2016,41.8
NSW,Wollongong,2016,40.3
NSW,Great Lakes,2016,47
NSW,Kempsey - Nambucca,2016,40.7
NSW,Lord Howe Island,2016,41.38559471
NSW,Port Macquarie,2016,44.4
NSW,Taree - Gloucester,2016,45.9
NSW,Albury,2016,43.3
NSW,Lower Murray,2016,39.1
NSW,Upper Murray exc. Albury,2016,44.8
NSW,Armidale,2016,44.6
NSW,Inverell - Tenterfield,2016,38.8
NSW,Moree - Narrabri,2016,32.4
NSW,Tamworth - Gunnedah,2016,40.8
NSW,Lake Macquarie - East,2016,44.9
NSW,Lake Macquarie - West,2016,43.9
NSW,Newcastle,2016,41.3
NSW,Richmond Valley - Coastal,2016,41.3
NSW,Richmond Valley - Hinterland,2016,40.3
NSW,Tweed Valley,2016,41.2
NSW,Griffith - Murrumbidgee (West),2016,36.9
NSW,Tumut - Tumbarumba,2016,41.3
NSW,Wagga Wagga,2016,40.2
NSW,Shoalhaven,2016,45
NSW,Southern Highlands,2016,41.1
NSW,Baulkham Hills,2016,40.1
NSW,Dural - Wisemans Ferry,2016,37.5
NSW,Hawkesbury,2016,39.2
NSW,Rouse Hill - McGraths Hill,2016,35.7
NSW,Blacktown,2016,32.7
NSW,Blacktown - North,2016,33.9
NSW,Mount Druitt,2016,27.1
NSW,Botany,2016,33
NSW,Marrickville - Sydenham - Petersham,2016,34.5
NSW,Sydney Inner City,2016,32.1
NSW,Eastern Suburbs - North,2016,32.2
NSW,Eastern Suburbs - South,2016,34.7
NSW,Bankstown,2016,33.6
NSW,Canterbury,2016,31
NSW,Hurstville,2016,36.7
NSW,Kogarah - Rockdale,2016,33.1
NSW,Canada Bay,2016,37
NSW,Leichhardt,2016,37.1
NSW,Strathfield - Burwood - Ashfield,2016,34
NSW,Chatswood - Lane Cove,2016,39
NSW,Hornsby,2016,40.1
NSW,Ku-ring-gai,2016,40.5
NSW,North Sydney - Mosman,2016,38.7
NSW,Manly,2016,42.7
NSW,Pittwater,2016,42
NSW,Warringah,2016,41.4
NSW,Camden,2016,35.7
NSW,Campbelltown (NSW),2016,31.8
NSW,Wollondilly,2016,39.1
NSW,Blue Mountains,2016,41.9
NSW,Blue Mountains - South,2016,41.38559471
NSW,Penrith,2016,35
NSW,Richmond - Windsor,2016,33.3
NSW,St Marys,2016,30.8
NSW,Auburn,2016,32.6
NSW,Carlingford,2016,37.1
NSW,Merrylands - Guildford,2016,32.9
NSW,Parramatta,2016,34.4
NSW,Pennant Hills - Epping,2016,41.1
NSW,Ryde - Hunters Hill,2016,38.8
NSW,Bringelly - Green Valley,2016,31.6
NSW,Fairfield,2016,36.2
NSW,Liverpool,2016,31
NSW,Cronulla - Miranda - Caringbah,2016,37.8
NSW,Sutherland - Menai - Heathcote,2016,40.2
Vic,Ballarat,2016,47.5
Vic,Creswick - Daylesford - Ballan,2016,42.3
Vic,Maryborough - Pyrenees,2016,45.1
Vic,Bendigo,2016,48
Vic,Heathcote - Castlemaine - Kyneton,2016,46.6
Vic,Loddon - Elmore,2016,43.3
Vic,Barwon - West,2016,44.5
Vic,Geelong,2016,43.1
Vic,Surf Coast - Bellarine Peninsula,2016,50.6
Vic,Upper Goulburn Valley,2016,43.9
Vic,Wangaratta - Benalla,2016,47.9
Vic,Wodonga - Alpine,2016,46.4
Vic,Baw Baw,2016,48
Vic,Gippsland - East,2016,52.5
Vic,Gippsland - South West,2016,49.4
Vic,Latrobe Valley,2016,46.3
Vic,Wellington,2016,46.8
Vic,Brunswick - Coburg,2016,37.1
Vic,Darebin - South,2016,40.2
Vic,Essendon,2016,41.9
Vic,Melbourne City,2016,36.5
Vic,Port Phillip,2016,37.7
Vic,Stonnington - West,2016,36.4
Vic,Yarra,2016,40.4
Vic,Boroondara,2016,44
Vic,Manningham - West,2016,43.3
Vic,Whitehorse - West,2016,44
Vic,Bayside,2016,44
Vic,Glen Eira,2016,37.6
Vic,Kingston,2016,40.8
Vic,Stonnington - East,2016,41.3
Vic,Banyule,2016,47
Vic,Darebin - North,2016,36.3
Vic,Nillumbik - Kinglake,2016,46.6
Vic,Whittlesea - Wallan,2016,37.6
Vic,Keilor,2016,42.9
Vic,Macedon Ranges,2016,45
Vic,Moreland - North,2016,36.3
Vic,Sunbury,2016,42.7
Vic,Tullamarine - Broadmeadows,2016,34.7
Vic,Knox,2016,42.2
Vic,Manningham - East,2016,45.6
Vic,Maroondah,2016,44.2
Vic,Whitehorse - East,2016,45.8
Vic,Yarra Ranges,2016,42.9
Vic,Cardinia,2016,39.9
Vic,Casey - North,2016,38.2
Vic,Casey - South,2016,34.6
Vic,Dandenong,2016,36.8
Vic,Monash,2016,42.6
Vic,Brimbank,2016,38
Vic,Hobsons Bay,2016,40.7
Vic,Maribyrnong,2016,38.4
Vic,Melton - Bacchus Marsh,2016,36.8
Vic,Wyndham,2016,36.4
Vic,Frankston,2016,38.2
Vic,Mornington Peninsula,2016,44.8
Vic,Grampians,2016,44.6
Vic,Mildura,2016,40.3
Vic,Murray River - Swan Hill,2016,42.5
Vic,Campaspe,2016,43.7
Vic,Moira,2016,44.5
Vic,Shepparton,2016,42.9
Vic,Glenelg - Southern Grampians,2016,46.4
Vic,Warrnambool - Otway Ranges,2016,44.9
Qld,Capalaba,2016,40.8
Qld,Cleveland - Stradbroke,2016,41.2
Qld,Wynnum - Manly,2016,39.5
Qld,Bald Hills - Everton Park,2016,45
Qld,Chermside,2016,40.4
Qld,Nundah,2016,39.4
Qld,Sandgate,2016,42.4
Qld,Carindale,2016,39.9
Qld,Holland Park - Yeronga,2016,37.2
Qld,Mt Gravatt,2016,40
Qld,Nathan,2016,39.1
Qld,Rocklea - Acacia Ridge,2016,37.3
Qld,Sunnybank,2016,39.8
Qld,Centenary,2016,42.4
Qld,Kenmore - Brookfield - Moggill,2016,42.2
Qld,Sherwood - Indooroopilly,2016,41.8
Qld,The Gap - Enoggera,2016,44.2
Qld,Brisbane Inner,2016,36.3
Qld,Brisbane Inner - East,2016,37.6
Qld,Brisbane Inner - North,2016,37.3
Qld,Brisbane Inner - West,2016,40.1
Qld,Cairns - North,2016,40.1
Qld,Cairns - South,2016,37.7
Qld,Innisfail - Cassowary Coast,2016,43.5
