SA3_name,Latitude,Longitude
Richmond Valley - Hinterland,-29.05366265,152.5892786
Richmond Valley - Hinterland,-29.05366265,152.5892786
Richmond Valley - Hinterland,-29.05366265,152.5892786
Richmond Valley - Hinterland,-29.05366265,152.5892786
Tweed Valley,-28.499375,152.88504
Tweed Valley,-28.499375,152.88504
Tweed Valley,-28.499375,152.88504
Tweed Valley,-28.499375,152.88504
Tweed Valley,-28.499375,152.88504
Tweed Valley,-28.499375,152.88504
Griffith - Murrumbidgee (West),-33.814887,146.667476
Griffith - Murrumbidgee (West),-33.814887,146.667476
Griffith - Murrumbidgee (West),-33.814887,146.667476
Griffith - Murrumbidgee (West),-33.814887,146.667476
Griffith - Murrumbidgee (West),-33.814887,146.667476
Griffith - Murrumbidgee (West),-33.814887,146.667476
Tumut - Tumbarumba,-34.75833012,148.9655031
Tumut - Tumbarumba,-34.75833012,148.9655031
Tumut - Tumbarumba,-34.75833012,148.9655031
Tumut - Tumbarumba,-34.75833012,148.9655031
Tumut - Tumbarumba,-34.75833012,148.9655031
Tumut - Tumbarumba,-34.75833012,148.9655031
Wagga Wagga,-34.599488,148.255601
Wagga Wagga,-34.599488,148.255601
Wagga Wagga,-34.599488,148.255601
Wagga Wagga,-34.599488,148.255601
Wagga Wagga,-34.599488,148.255601
Wagga Wagga,-34.599488,148.255601
Shoalhaven,-34.1336,151.1041
Shoalhaven,-34.1336,151.1041
Shoalhaven,-34.1336,151.1041
Shoalhaven,-34.1336,151.1041
Shoalhaven,-34.1336,151.1041
Shoalhaven,-34.1336,151.1041
Southern Highlands,-34.583539,150.754592
Southern Highlands,-34.583539,150.754592
Southern Highlands,-34.583539,150.754592
Southern Highlands,-34.583539,150.754592
Southern Highlands,-34.583539,150.754592
Southern Highlands,-34.583539,150.754592
Baulkham Hills,-33.735906,151.030535
Baulkham Hills,-33.735906,151.030535
Baulkham Hills,-33.735906,151.030535
Baulkham Hills,-33.735906,151.030535
Baulkham Hills,-33.735906,151.030535
Baulkham Hills,-33.735906,151.030535
Dural - Wisemans Ferry,-33.656984,150.974528
Dural - Wisemans Ferry,-33.656984,150.974528
Dural - Wisemans Ferry,-33.656984,150.974528
Dural - Wisemans Ferry,-33.656984,150.974528
Dural - Wisemans Ferry,-33.656984,150.974528
Dural - Wisemans Ferry,-33.656984,150.974528
Hawkesbury,-33.325373,151.189243
Hawkesbury,-33.325373,151.189243
Hawkesbury,-33.325373,151.189243
Hawkesbury,-33.325373,151.189243
Hawkesbury,-33.325373,151.189243
Hawkesbury,-33.325373,151.189243
Blacktown,-33.760263,150.966912
Blacktown,-33.760263,150.966912
Blacktown,-33.760263,150.966912
Blacktown,-33.760263,150.966912
Blacktown,-33.760263,150.966912
Blacktown,-33.760263,150.966912
Blacktown - North,-33.731523,150.931074
Blacktown - North,-33.731523,150.931074
Blacktown - North,-33.731523,150.931074
Blacktown - North,-33.731523,150.931074
Blacktown - North,-33.731523,150.931074
Blacktown - North,-33.731523,150.931074
Mount Druitt,-33.742006,150.84746
Mount Druitt,-33.742006,150.84746
Mount Druitt,-33.742006,150.84746
Mount Druitt,-33.742006,150.84746
Mount Druitt,-33.742006,150.84746
Mount Druitt,-33.742006,150.84746
Botany,-33.947087,151.197644
Botany,-33.947087,151.197644
Botany,-33.947087,151.197644
Botany,-33.947087,151.197644
Botany,-33.947087,151.197644
Botany,-33.947087,151.197644
Marrickville - Sydenham - Petersham,-33.926669,151.210791
Marrickville - Sydenham - Petersham,-33.926669,151.210791
Marrickville - Sydenham - Petersham,-33.926669,151.210791
Marrickville - Sydenham - Petersham,-33.926669,151.210791
Marrickville - Sydenham - Petersham,-33.926669,151.210791
Marrickville - Sydenham - Petersham,-33.926669,151.210791
Sydney Inner City,-33.794883,151.268071
Sydney Inner City,-33.794883,151.268071
Sydney Inner City,-33.794883,151.268071
Sydney Inner City,-33.794883,151.268071
Sydney Inner City,-33.794883,151.268071
Sydney Inner City,-33.794883,151.268071
Eastern Suburbs - North,-33.88871,151.240508
Eastern Suburbs - North,-33.88871,151.240508
Eastern Suburbs - North,-33.88871,151.240508
Eastern Suburbs - North,-33.88871,151.240508
Eastern Suburbs - North,-33.88871,151.240508
Eastern Suburbs - North,-33.88871,151.240508
Eastern Suburbs - South,-33.888549,151.140735
Eastern Suburbs - South,-33.888549,151.140735
Eastern Suburbs - South,-33.888549,151.140735
Eastern Suburbs - South,-33.888549,151.140735
Eastern Suburbs - South,-33.888549,151.140735
Eastern Suburbs - South,-33.888549,151.140735
Bankstown,-33.908788,150.986277
Bankstown,-33.908788,150.986277
Bankstown,-33.908788,150.986277
Bankstown,-33.908788,150.986277
Bankstown,-33.908788,150.986277
Bankstown,-33.908788,150.986277
Canterbury,-33.907417,151.024581
Canterbury,-33.907417,151.024581
Canterbury,-33.907417,151.024581
Canterbury,-33.907417,151.024581
Canterbury,-33.907417,151.024581
Canterbury,-33.907417,151.024581
Hurstville,-33.94913,151.075304
Hurstville,-33.94913,151.075304
Hurstville,-33.94913,151.075304
Hurstville,-33.94913,151.075304
Hurstville,-33.94913,151.075304
Hurstville,-33.94913,151.075304
Kogarah - Rockdale,-33.935923,151.100027
Kogarah - Rockdale,-33.935923,151.100027
Kogarah - Rockdale,-33.935923,151.100027
Kogarah - Rockdale,-33.935923,151.100027
Kogarah - Rockdale,-33.935923,151.100027
Kogarah - Rockdale,-33.935923,151.100027
Canada Bay,-33.842999,151.151958
Canada Bay,-33.842999,151.151958
Canada Bay,-33.842999,151.151958
Canada Bay,-33.842999,151.151958
Canada Bay,-33.842999,151.151958
Canada Bay,-33.842999,151.151958
Leichhardt,-33.881624,151.170165
Leichhardt,-33.881624,151.170165
Leichhardt,-33.881624,151.170165
Leichhardt,-33.881624,151.170165
Leichhardt,-33.881624,151.170165
Leichhardt,-33.881624,151.170165
Strathfield - Burwood - Ashfield,-33.89194485,151.0477059
Strathfield - Burwood - Ashfield,-33.89194485,151.0477059
Strathfield - Burwood - Ashfield,-33.89194485,151.0477059
Strathfield - Burwood - Ashfield,-33.89194485,151.0477059
Strathfield - Burwood - Ashfield,-33.89194485,151.0477059
Strathfield - Burwood - Ashfield,-33.89194485,151.0477059
Chatswood - Lane Cove,-33.812636,151.214797
Chatswood - Lane Cove,-33.812636,151.214797
Chatswood - Lane Cove,-33.812636,151.214797
Chatswood - Lane Cove,-33.812636,151.214797
Chatswood - Lane Cove,-33.812636,151.214797
Chatswood - Lane Cove,-33.812636,151.214797
Hornsby,-33.707684,151.099812
Hornsby,-33.707684,151.099812
Hornsby,-33.707684,151.099812
Hornsby,-33.707684,151.099812
Hornsby,-33.707684,151.099812
Hornsby,-33.707684,151.099812
Ku-ring-gai,-33.780246,151.195368
Ku-ring-gai,-33.780246,151.195368
Ku-ring-gai,-33.780246,151.195368
Ku-ring-gai,-33.780246,151.195368
Ku-ring-gai,-33.780246,151.195368
Ku-ring-gai,-33.780246,151.195368
North Sydney - Mosman,-33.865367,151.193071
North Sydney - Mosman,-33.865367,151.193071
North Sydney - Mosman,-33.865367,151.193071
North Sydney - Mosman,-33.865367,151.193071
North Sydney - Mosman,-33.865367,151.193071
North Sydney - Mosman,-33.865367,151.193071
Manly,-33.329799,151.505125
Manly,-33.329799,151.505125
Manly,-33.329799,151.505125
Manly,-33.329799,151.505125
Manly,-33.329799,151.505125
Manly,-33.329799,151.505125
Pittwater,-33.698773,151.216799
Pittwater,-33.698773,151.216799
Pittwater,-33.698773,151.216799
Pittwater,-33.698773,151.216799
Pittwater,-33.698773,151.216799
Pittwater,-33.698773,151.216799
Warringah,-33.793137,151.246751
Warringah,-33.793137,151.246751
Warringah,-33.793137,151.246751
Warringah,-33.793137,151.246751
Warringah,-33.793137,151.246751
Warringah,-33.793137,151.246751
Campbelltown (NSW),-33.960035,150.802088
Campbelltown (NSW),-33.960035,150.802088
Campbelltown (NSW),-33.960035,150.802088
Campbelltown (NSW),-33.960035,150.802088
Campbelltown (NSW),-33.960035,150.802088
Campbelltown (NSW),-33.960035,150.802088
Wollondilly,-34.194216,150.768408
Wollondilly,-34.194216,150.768408
Wollondilly,-34.194216,150.768408
Wollondilly,-34.194216,150.768408
Wollondilly,-34.194216,150.768408
Wollondilly,-34.194216,150.768408
Blue Mountains,-33.483614,150.601824
Blue Mountains,-33.483614,150.601824
Blue Mountains,-33.483614,150.601824
Blue Mountains,-33.483614,150.601824
Blue Mountains,-33.483614,150.601824
Blue Mountains,-33.483614,150.601824
Blue Mountains - South,-34.726283,149.729215
Blue Mountains - South,-34.726283,149.729215
Blue Mountains - South,-34.726283,149.729215
Blue Mountains - South,-34.726283,149.729215
Blue Mountains - South,-34.726283,149.729215
Blue Mountains - South,-34.726283,149.729215
Penrith,-33.77413222,150.7376907
Penrith,-33.77413222,150.7376907
Penrith,-33.77413222,150.7376907
Penrith,-33.77413222,150.7376907
Penrith,-33.77413222,150.7376907
Penrith,-33.77413222,150.7376907
Richmond - Windsor,-33.604022,150.646053
Richmond - Windsor,-33.604022,150.646053
Richmond - Windsor,-33.604022,150.646053
Richmond - Windsor,-33.604022,150.646053
Richmond - Windsor,-33.604022,150.646053
Richmond - Windsor,-33.604022,150.646053
St Marys,-33.859047,151.19554
St Marys,-33.859047,151.19554
St Marys,-33.859047,151.19554
St Marys,-33.859047,151.19554
St Marys,-33.859047,151.19554
St Marys,-33.859047,151.19554
Auburn,-33.82328,151.051375
Auburn,-33.82328,151.051375
Auburn,-33.82328,151.051375
Auburn,-33.82328,151.051375
Auburn,-33.82328,151.051375
Auburn,-33.82328,151.051375
Carlingford,-33.950299,151.206982
Carlingford,-33.950299,151.206982
Carlingford,-33.950299,151.206982
Carlingford,-33.950299,151.206982
Carlingford,-33.950299,151.206982
Carlingford,-33.950299,151.206982
Merrylands - Guildford,-33.858335,150.983724
Merrylands - Guildford,-33.858335,150.983724
Merrylands - Guildford,-33.858335,150.983724
Merrylands - Guildford,-33.858335,150.983724
Merrylands - Guildford,-33.858335,150.983724
Merrylands - Guildford,-33.858335,150.983724
Parramatta,-33.886166,151.139472
Parramatta,-33.886166,151.139472
Parramatta,-33.886166,151.139472
