State/territory,Sex,Age group,Year,Participated,Invited,Participation (%)
ACT,Males,55-59,2020-2021,3295,8444,39
ACT,Males,60-64,2020-2021,4524,10264,44.1
ACT,Males,65-69,2020-2021,2903,5577,52.1
ACT,Males,70-74,2020-2021,3981,7157,55.6
ACT,Males,50-74,2020-2021,19892,46685,42.6
ACT,Females,50-54,2020-2021,5561,15119,36.8
ACT,Females,55-59,2020-2021,3487,8460,41.2
ACT,Females,60-64,2020-2021,5168,10797,47.9
ACT,Females,65-69,2020-2021,3396,6081,55.8
ACT,Females,70-74,2020-2021,4264,7752,55
ACT,Females,50-74,2020-2021,21876,48209,45.4
ACT,Persons,50-54,2020-2021,10750,30362,35.4
ACT,Persons,55-59,2020-2021,6782,16904,40.1
ACT,Persons,60-64,2020-2021,9692,21061,46
ACT,Persons,65-69,2020-2021,6299,11658,54
ACT,Persons,70-74,2020-2021,8245,14909,55.3
ACT,Persons,50-74,2020-2021,41768,94894,44
NT,Males,50-54,2020-2021,1415,7925,17.9
NT,Males,55-59,2020-2021,1086,4759,22.8
NT,Males,60-64,2020-2021,1424,5321,26.8
NT,Males,65-69,2020-2021,934,2947,31.7
NT,Males,70-74,2020-2021,971,2872,33.8
NT,Males,50-74,2020-2021,5830,23824,24.5
NT,Females,50-54,2020-2021,1506,7372,20.4
NT,Females,55-59,2020-2021,1090,4328,25.2
NT,Females,60-64,2020-2021,1505,4999,30.1
NT,Females,65-69,2020-2021,871,2623,33.2
NT,Females,70-74,2020-2021,851,2430,35
NT,Females,50-74,2020-2021,5823,21752,26.8
NT,Persons,50-54,2020-2021,2921,15297,19.1
NT,Persons,55-59,2020-2021,2176,9087,23.9
NT,Persons,60-64,2020-2021,2929,10320,28.4
NT,Persons,65-69,2020-2021,1805,5570,32.4
NT,Persons,70-74,2020-2021,1822,5302,34.4
NT,Persons,50-74,2020-2021,11653,45576,25.6
Australia,Males,50-54,2020-2021,271690,907163,29.9
Australia,Males,55-59,2020-2021,186554,548023,34
Australia,Males,60-64,2020-2021,282568,698812,40.4
Australia,Males,65-69,2020-2021,190608,395831,48.2
Australia,Males,70-74,2020-2021,252944,491512,51.5
Australia,Males,50-74,2020-2021,1184364,3041341,38.9
