State/territory,SA3 code,SA3 name,Participated,Invited,Participation (%),Year
NSW,12302,Campbelltown (NSW),"13,712","40,231",34.1,2020-2021
NSW,12303,Wollondilly,"4,353","10,508",41.4,2020-2021
NSW,12401,Blue Mountains,"10,408","23,451",44.4,2020-2021
NSW,12402,Blue Mountains - South,n.p.,n.p.,n.p.,2020-2021
NSW,12403,Penrith,"12,358","32,732",37.8,2020-2021
NSW,12404,Richmond - Windsor,"3,404","9,246",36.8,2020-2021
NSW,12405,St Marys,"4,684","13,797",33.9,2020-2021
NSW,12501,Auburn,"6,447","19,326",33.4,2020-2021
NSW,12502,Carlingford,"6,949","18,048",38.5,2020-2021
NSW,12503,Merrylands - Guildford,"11,872","35,064",33.9,2020-2021
NSW,12504,Parramatta,"10,053","29,050",34.6,2020-2021
NSW,12601,Pennant Hills - Epping,"5,866","13,320",44,2020-2021
NSW,12602,Ryde - Hunters Hill,"13,728","33,113",41.5,2020-2021
NSW,12701,Bringelly - Green Valley,"9,803","27,668",35.4,2020-2021
NSW,12702,Fairfield,"21,434","55,577",38.6,2020-2021
NSW,12703,Liverpool,"9,720","29,019",33.5,2020-2021
NSW,12801,Cronulla - Miranda - Caringbah,"12,444","29,076",42.8,2020-2021
NSW,12802,Sutherland - Menai - Heathcote,"12,060","27,242",44.3,2020-2021
Vic,20101,Ballarat,"13,397","27,935",48,2020-2021
Vic,20102,Creswick - Daylesford - Ballan,"4,304","9,472",45.4,2020-2021
Vic,20103,Maryborough - Pyrenees,"3,770","8,606",43.8,2020-2021
Vic,20201,Bendigo,"12,853","26,405",48.7,2020-2021
Vic,20202,Heathcote - Castlemaine - Kyneton,"7,410","15,337",48.3,2020-2021
Vic,20203,Loddon - Elmore,"1,485","3,440",43.2,2020-2021
Vic,20301,Barwon - West,"2,584","5,500",47,2020-2021
Vic,20302,Geelong,"22,789","49,887",45.7,2020-2021
Vic,20303,Surf Coast - Bellarine Peninsula,"12,706","23,701",53.6,2020-2021
